root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:19:18.316017 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 11484, win 4104, length 0
20:19:18.346974 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11484:11632, ack 1, win 501, length 148
20:19:18.347047 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11632:11668, ack 1, win 501, length 36
20:19:18.347109 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11668:11816, ack 1, win 501, length 148
20:19:18.347137 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11816:11852, ack 1, win 501, length 36
20:19:18.347174 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 11852:12000, ack 1, win 501, length 148
20:19:18.347200 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12000:12036, ack 1, win 501, length 36
20:19:18.347235 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12036:12184, ack 1, win 501, length 148
20:19:18.347262 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12184:12220, ack 1, win 501, length 36
20:19:18.347297 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12220:12368, ack 1, win 501, length 148
20:19:18.347323 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12368:12404, ack 1, win 501, length 36
20:19:18.347361 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12404:12552, ack 1, win 501, length 148
20:19:18.347393 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12552:12588, ack 1, win 501, length 36
20:19:18.347434 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12588:12736, ack 1, win 501, length 148
20:19:18.347473 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12736:12772, ack 1, win 501, length 36
20:19:18.347533 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12772:12920, ack 1, win 501, length 148
20:19:18.347569 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12920:12956, ack 1, win 501, length 36
20:19:18.347618 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 12956:13104, ack 1, win 501, length 148
20:19:18.347645 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13104:13140, ack 1, win 501, length 36
20:19:18.347683 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13140:13288, ack 1, win 501, length 148
20:19:18.347710 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13288:13324, ack 1, win 501, length 36
20:19:18.347763 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13324:13472, ack 1, win 501, length 148
20:19:18.347796 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13472:13508, ack 1, win 501, length 36
20:19:18.347834 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13508:13656, ack 1, win 501, length 148
20:19:18.347860 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13656:13692, ack 1, win 501, length 36
20:19:18.347895 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13692:13840, ack 1, win 501, length 148
20:19:18.347922 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13840:13876, ack 1, win 501, length 36
20:19:18.347956 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 13876:14024, ack 1, win 501, length 148
20:19:18.347988 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14024:14060, ack 1, win 501, length 36
20:19:18.348022 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14060:14208, ack 1, win 501, length 148
20:19:18.348048 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14208:14244, ack 1, win 501, length 36
20:19:18.348083 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14244:14392, ack 1, win 501, length 148
20:19:18.348109 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14392:14428, ack 1, win 501, length 36
20:19:18.348149 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14428:14576, ack 1, win 501, length 148
20:19:18.348176 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 14576:14612, ack 1, win 501, length 36
